name,platform,year,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,rating
Terraria,PC,2011,Action,Unknown,0.0,0.13,0.0,0.02,0.15,4.0
Terraria,PSV,2013,Action,Screenlife,0.0,0.01,0.09,0.0,0.11,4.0
Terraria,3DS,2016,Action,505 Games,0.0,0.03,0.04,0.0,0.08,4.0
Terraria,PS4,2014,Action,505 Games,0.0,0.05,0.01,0.01,0.06,4.0
Terraria,XOne,2014,Action,505 Games,0.0,0.04,0.0,0.0,0.04,4.0
Terraria,WiiU,2016,Action,505 Games,0.0,0.02,0.0,0.0,0.03,4.0
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38,3.8
Metal Gear Solid V: The Phantom Pain,XOne,2015,Action,Konami Digital Entertainment,0.37,0.26,0.01,0.06,0.71,3.8
Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,Konami Digital Entertainment,0.21,0.18,0.22,0.08,0.7,3.8
Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment,0.12,0.08,0.0,0.02,0.21,3.8
Metal Gear Solid V: The Phantom Pain,PC,2015,Action,Konami Digital Entertainment,0.0,0.07,0.0,0.0,0.08,3.8
Overwatch,PS4,2016,Shooter,Activision,0.64,0.68,0.14,0.26,1.73,3.2
Overwatch,XOne,2016,Shooter,Activision,0.52,0.25,0.0,0.08,0.85,3.2
Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0.0,0.04,0.43,3.2
Half-Life 2,PC,2004,Shooter,Vivendi Games,2.28,0.02,0.08,0.0,2.37,4.2
Half-Life 2,XB,2005,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61,4.2
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,4.1
Grand Theft Auto: San Andreas,XB,2005,Action,Take-Two Interactive,1.26,0.61,0.0,0.09,1.95,4.1
Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0.0,0.92,0.0,0.05,0.98,4.1
Grand Theft Auto: San Andreas,X360,2008,Action,Take-Two Interactive,0.08,0.03,0.0,0.01,0.12,4.1
Devil May Cry,PS2,2001,Action,Capcom,1.36,0.86,0.64,0.13,2.99,3.5
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25,3.9
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5,3.9
Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive,0.0,0.27,0.0,0.05,0.32,3.9
Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,3.7
Mother 3,GBA,2006,Role-Playing,Nintendo,0.0,0.0,0.39,0.01,0.4,4.5
Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12,4.0
Half-Life,PS2,2001,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6,4.0
Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software,0.14,0.07,0.15,0.06,0.41,3.5
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99,3.9
Left 4 Dead 2,PC,2009,Shooter,Valve Software,0.0,0.32,0.0,0.04,0.37,3.9
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,4.1
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,4.1
Batman: Arkham City,PC,2011,Action,Warner Bros. Interactive Entertainment,0.16,0.28,0.0,0.09,0.53,4.1
Batman: Arkham City,WiiU,2012,Action,Warner Bros. Interactive Entertainment,0.17,0.18,0.0,0.03,0.38,4.1
Yakuza Kiwami,PS4,2016,Adventure,Sega,0.0,0.0,0.16,0.0,0.16,3.7
Yakuza Kiwami,PS3,2016,Adventure,Sega,0.0,0.0,0.12,0.0,0.12,3.7
Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.49,0.07,0.39,0.05,0.99,4.1
Life is Strange,PS4,2016,Adventure,Square Enix,0.14,0.15,0.03,0.06,0.37,3.4
Life is Strange,XOne,2016,Adventure,Square Enix,0.08,0.02,0.0,0.01,0.11,3.4
Life is Strange,PC,2016,Adventure,Square Enix,0.01,0.03,0.0,0.0,0.04,3.4
Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,4.4
Shadow of the Colossus,PS3,2011,Action,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,4.4
Super Mario Bros. 3,NES,1988,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,4.0
Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,4.0
Dishonored,X360,2012,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73,3.9
Dishonored,PS3,2012,Action,Bethesda Softworks,0.72,0.54,0.04,0.25,1.55,3.9
Dishonored,PC,2012,Action,Bethesda Softworks,0.26,0.19,0.0,0.06,0.51,3.9
Dishonored,PS4,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06,0.37,3.9
Dishonored,XOne,2015,Action,Bethesda Softworks,0.08,0.05,0.0,0.01,0.14,3.9
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,4.5
Journey,PS3,2012,Adventure,Sony Computer Entertainment Europe,0.04,0.15,0.0,0.06,0.25,3.9
Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,3.6
Kingdom Hearts,PS3,2013,Role-Playing,Square Enix,0.9,0.37,0.25,0.24,1.75,3.6
Doom,PS,1994,Shooter,Infogrames,0.43,0.3,0.0,0.05,0.78,4.0
Doom,GBA,2001,Shooter,Activision,0.1,0.04,0.0,0.0,0.14,4.0
Doom,PC,1992,Shooter,id Software,0.02,0.0,0.0,0.0,0.03,4.0
Live A Live,SNES,1994,Role-Playing,SquareSoft,0.0,0.0,0.32,0.0,0.32,4.1
Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,3.1
Sonic the Hedgehog,PS3,2006,Platform,Sega,0.41,0.07,0.04,0.66,1.18,3.1
Sonic the Hedgehog,X360,2006,Platform,Sega,0.44,0.49,0.0,0.11,1.05,3.1
Rocket League,PS4,2016,Sports,505 Games,0.02,0.14,0.0,0.07,0.23,3.4
Rocket League,XOne,2016,Sports,505 Games,0.03,0.09,0.0,0.01,0.12,3.4
Rocket League,PC,2016,Sports,505 Games,0.01,0.01,0.0,0.0,0.02,3.4
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79,3.7
Batman: Arkham Knight,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.86,0.46,0.0,0.13,1.45,3.7
Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.08,0.03,0.0,0.01,0.13,3.7
Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,3.7
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,3.9
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,4.2
Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,4.2
Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02,4.3
Dead Space,X360,2008,Action,Electronic Arts,0.89,0.4,0.0,0.13,1.42,4.3
Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,4.3
Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,3.5
Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0.0,0.0,1.03,3.5
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,4.3
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,3.9
Donkey Kong Country,GB,2000,Platform,Nintendo,1.04,0.72,0.3,0.13,2.19,3.9
Donkey Kong Country,GBA,2003,Platform,Nintendo,1.2,0.48,0.29,0.07,2.04,3.9
Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,3.8
Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,3.8
Assassin's Creed II,PC,2010,Action,Ubisoft,0.01,0.45,0.0,0.11,0.57,3.8
Dead Space,PS3,2008,Action,Electronic Arts,1.05,0.67,0.0,0.3,2.02,4.0
Dead Space,X360,2008,Action,Electronic Arts,0.89,0.4,0.0,0.13,1.42,4.0
Dead Space,PC,2008,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59,4.0
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,3.5
Shadow of the Colossus,PS2,2005,Action,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14,4.1
Shadow of the Colossus,PS3,2011,Action,Sony Computer Entertainment,0.0,0.0,0.04,0.0,0.04,4.1
God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,3.6
Killer7,GC,2005,Action,Capcom,0.12,0.03,0.0,0.0,0.15,4.3
Killer7,PS2,2005,Action,Capcom,0.04,0.03,0.0,0.01,0.09,4.3
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,3.8
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,3.8
Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88,3.8
Metroid: Zero Mission,GBA,2004,Adventure,Nintendo,0.6,0.22,0.0,0.01,0.84,4.0
Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,4.1
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.13,0.07,0.0,0.06,0.26,3.9
Danganronpa 2: Goodbye Despair,PSP,2012,Misc,Spike,0.0,0.0,0.19,0.0,0.19,3.9
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,4.3
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,4.2
Metroid Fusion,GBA,2002,Action,Nintendo,1.18,0.27,0.17,0.06,1.68,4.0
Final Fantasy VI,PS,1999,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.08,0.01,0.08,4.4
Far Cry 3,PS3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45,3.7
Far Cry 3,X360,2012,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04,3.7
Far Cry 3,PC,2012,Shooter,Ubisoft,0.21,0.62,0.0,0.14,0.98,3.7
Plants vs. Zombies,DS,2011,Strategy,Mastertronic,0.95,0.15,0.0,0.08,1.18,3.7
Plants vs. Zombies,X360,2010,Strategy,PopCap Games,0.24,0.0,0.0,0.02,0.26,3.7
Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,0.18,0.0,0.0,0.01,0.19,3.7
Plants vs. Zombies,PC,2009,Strategy,PopCap Games,0.0,0.04,0.0,0.01,0.05,3.7
Demon's Souls,PS3,2009,Role-Playing,Namco Bandai Games,0.97,0.34,0.35,0.18,1.84,3.9
The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83,3.9
Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,2.9
Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,2.9
Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0.0,0.08,0.92,2.9
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,3.7
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,3.7
Call of Duty: Black Ops,Wii,2010,Shooter,Activision,0.82,0.47,0.0,0.12,1.4,3.7
Call of Duty: Black Ops,DS,2010,Shooter,Activision,0.54,0.05,0.0,0.04,0.63,3.7
The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,3.2
Ghost Trick: Phantom Detective,DS,2010,Adventure,Capcom,0.2,0.08,0.12,0.03,0.42,4.4
Paper Mario: The Thousand-Year Door,GC,2004,Role-Playing,Nintendo,1.48,0.25,0.46,0.06,2.25,4.4
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07,4.0
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11,4.3
Mass Effect 2,PS3,2011,Role-Playing,Electronic Arts,0.78,0.47,0.03,0.2,1.48,4.3
Mass Effect 2,PC,2010,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4,4.3
Metal Gear Solid V: Ground Zeroes,PS4,2014,Action,Konami Digital Entertainment,0.45,0.46,0.17,0.2,1.28,3.3
Metal Gear Solid V: Ground Zeroes,PS3,2014,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62,3.3
Metal Gear Solid V: Ground Zeroes,XOne,2014,Action,Konami Digital Entertainment,0.15,0.11,0.0,0.02,0.28,3.3
Metal Gear Solid V: Ground Zeroes,X360,2014,Action,Konami Digital Entertainment,0.07,0.06,0.01,0.01,0.15,3.3
Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,4.0
Banjo-Kazooie,X360,2008,Platform,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01,4.0
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,3.8
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,3.8
Call of Duty: Black Ops II,PC,2012,Shooter,Activision,0.63,0.69,0.0,0.21,1.53,3.8
Call of Duty: Black Ops II,WiiU,2012,Shooter,Activision,0.21,0.18,0.0,0.03,0.43,3.8
Mega Man X,SNES,1993,Platform,Capcom,0.57,0.08,0.5,0.01,1.16,4.1
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,3.5
Wolfenstein: The New Order,PS4,2014,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.29,1.58,3.6
Wolfenstein: The New Order,XOne,2014,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67,3.6
Wolfenstein: The New Order,PS3,2014,Shooter,Bethesda Softworks,0.14,0.25,0.02,0.09,0.51,3.6
Wolfenstein: The New Order,PC,2014,Shooter,Bethesda Softworks,0.12,0.29,0.0,0.05,0.46,3.6
Wolfenstein: The New Order,X360,2014,Shooter,Bethesda Softworks,0.18,0.19,0.0,0.04,0.41,3.6
Deus Ex,PC,2000,Role-Playing,Eidos Interactive,0.0,0.01,0.0,0.0,0.01,4.4
BioShock 2,X360,2010,Shooter,Take-Two Interactive,1.45,0.55,0.02,0.19,2.21,3.6
BioShock 2,PS3,2010,Shooter,Take-Two Interactive,0.85,0.47,0.02,0.22,1.55,3.6
Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.07,0.04,0.01,0.01,0.13,4.0
Shovel Knight,WiiU,2015,Platform,Yacht Club Games,0.06,0.04,0.0,0.01,0.11,4.0
Shovel Knight,PS4,2015,Platform,Yacht Club Games,0.03,0.03,0.0,0.01,0.08,4.0
Dark Souls II,PS3,2014,Role-Playing,Namco Bandai Games,0.4,0.36,0.4,0.17,1.32,3.3
Dark Souls II,X360,2014,Role-Playing,Namco Bandai Games,0.48,0.2,0.01,0.06,0.76,3.3
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59,3.3
Dark Souls II,XOne,2015,Role-Playing,Namco Bandai Games,0.13,0.07,0.0,0.02,0.22,3.3
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.02,0.18,3.3
Resident Evil 6,PS3,2012,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15,2.5
Resident Evil 6,X360,2012,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,2.5
Resident Evil 6,PS4,2016,Shooter,Capcom,0.05,0.0,0.0,0.01,0.07,2.5
Resident Evil 6,PC,2012,Shooter,Capcom,0.0,0.04,0.0,0.01,0.04,2.5
Resident Evil 6,XOne,2016,Shooter,Capcom,0.03,0.0,0.0,0.0,0.04,2.5
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,Capcom,0.99,0.63,0.29,0.19,2.09,4.2
Tetris,GB,1989,Puzzle,Nintendo,23.2,2.26,4.22,0.58,30.26,4.1
Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,4.1
Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25,3.9
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,3.6
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67,4.4
Max Payne,PS2,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31,3.9
Max Payne,XB,2001,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22,3.9
Max Payne,GBA,2003,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,3.9
Max Payne,PC,2001,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.02,3.9
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,4.2
Kirby's Adventure,NES,1993,Platform,Nintendo,0.79,0.14,0.8,0.02,1.75,3.6
The Sims 4,PC,2014,Simulation,Electronic Arts,0.96,1.72,0.0,0.29,2.97,3.0
Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03,3.2
Far Cry 4,XOne,2014,Shooter,Ubisoft,0.79,0.68,0.01,0.13,1.61,3.2
Far Cry 4,PS3,2014,Shooter,Ubisoft,0.33,0.79,0.08,0.23,1.44,3.2
Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.44,0.0,0.08,0.98,3.2
Far Cry 4,PC,2014,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62,3.2
Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,3.4
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,3.0
Mega Man 2,NES,1988,Action,Capcom,0.93,0.15,0.42,0.01,1.51,3.6
Phoenix Wright: Ace Attorney Trilogy,3DS,2014,Adventure,Capcom,0.0,0.0,0.02,0.0,0.02,4.3
Star Wars: Knights of the Old Republic,XB,2003,Role-Playing,Activision,1.68,0.44,0.0,0.08,2.19,4.2
Star Wars: Knights of the Old Republic,PC,2003,Role-Playing,LucasArts,0.01,0.1,0.0,0.02,0.14,4.2
No More Heroes 2: Desperate Struggle,Wii,2010,Action,Rising Star Games,0.21,0.12,0.04,0.03,0.41,3.5
Kirby Super Star Ultra,DS,2008,Platform,Nintendo,1.57,0.04,1.19,0.15,2.96,4.3
"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,0.07,0.0,0.0,0.01,0.07,4.3
Katamari Damacy,PS2,2004,Puzzle,Namco Bandai Games,0.47,0.02,0.17,0.08,0.73,4.2
Borderlands,X360,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44,3.1
Borderlands,PS3,2009,Shooter,Take-Two Interactive,1.2,0.62,0.0,0.29,2.11,3.1
Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.04,0.18,3.1
Klonoa: Door to Phantomile,PS,1997,Platform,Sony Computer Entertainment,0.0,0.0,0.17,0.01,0.18,4.1
